Product_ID,Weight_kg,Energy_Consumption_kWh,Water_Usage_Liters,Carbon_Footprint_kgCO2,Waste_Generated_kg,Lifespan_Years,Sustainability_Rating,Product_Name_LED Bulb,Product_Name_Laptop,Product_Name_Plastic Bottle,Product_Name_Refrigerator,Product_Name_Smartphone,Product_Name_Sneakers,Product_Name_T-Shirt,Material_Glass,Material_Leather,Material_Metal,Material_Plastic,Material_Polyester,Material_Wood,Disposal_Method_Landfill,Disposal_Method_Recycled,Disposal_Method_Reused,Manufacturing_Country_China,Manufacturing_Country_Germany,Manufacturing_Country_India,Manufacturing_Country_USA,Manufacturing_Country_Vietnam,Impact_per_Year,Eco_Index
P00001,13.76,129.04,3432.1,56.81,9.14,3,3.4,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,18.937,0.258
P00002,5.97,903.38,4032.36,438.54,4.16,3,3.3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,146.18,0.037
P00003,6.91,1985.7,1540.54,289.57,11.14,4,3.8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,72.392,0.063
P00004,15.55,1537.48,2544.96,208.3,2.39,4,4.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,52.075,0.097
P00005,2.0,578.6,3636.73,424.38,4.3,1,3.4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,424.38,0.04
P00006,6.84,347.15,331.66,861.06,4.07,10,4.9,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,86.106,0.028
P00007,8.33,488.1,1418.06,844.58,5.67,10,1.6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,84.458,0.009
P00008,16.78,308.3,4182.31,988.58,14.37,1,1.2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,988.58,0.006
P00009,11.94,255.41,53.76,813.45,12.53,10,4.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,81.345,0.024
P00010,8.55,600.27,173.02,442.98,7.58,3,1.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,147.66,0.018
P00011,9.7,1241.73,3995.42,860.04,0.33,7,4.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,122.863,0.024
P00012,5.46,1431.59,1454.44,395.12,12.74,5,2.8,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,79.024,0.034
P00013,9.5,1400.03,1414.36,138.7,13.04,7,1.5,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,19.814,0.049
P00014,5.02,475.3,445.65,199.01,11.53,14,4.9,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,14.215,0.116
P00015,3.27,771.27,3313.46,590.25,1.21,14,4.1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,42.161,0.035
P00016,0.98,703.23,4972.89,986.29,4.5,10,4.0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,98.629,0.02
P00017,16.36,1089.99,484.59,948.27,12.41,11,3.6,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,86.206,0.019
P00018,5.33,1841.83,2745.52,321.6,1.32,7,3.1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,45.943,0.048
P00019,8.83,1641.15,1602.86,228.4,12.93,7,3.7,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,32.629,0.077
P00020,7.04,1227.05,3090.18,948.83,8.96,6,2.9,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,158.138,0.015
P00021,12.44,1265.31,79.93,778.59,10.92,13,3.5,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,59.892,0.022
P00022,3.77,1310.11,1454.21,257.41,5.88,6,4.6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,42.902,0.087
P00023,19.03,303.27,2530.84,579.29,5.72,5,2.8,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,115.858,0.024
P00024,17.56,1110.47,1252.87,462.68,12.95,8,2.3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,57.835,0.024
P00025,10.97,404.48,3467.86,990.51,6.86,14,2.6,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,70.751,0.013
P00026,4.49,1251.08,4911.19,699.95,0.55,12,4.2,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,58.329,0.03
P00027,7.49,1148.22,166.0,787.62,14.18,13,4.6,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60.586,0.029
P00028,5.1,1616.96,3094.04,390.15,5.36,13,4.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,30.012,0.057
P00029,2.36,293.02,2755.17,847.33,10.62,11,3.9,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,77.03,0.023
P00030,11.96,352.48,2779.2,774.65,10.72,2,1.5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,387.325,0.01
P00031,17.89,1786.41,2973.49,995.68,1.23,3,1.3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,331.893,0.007
P00032,4.08,1941.06,2398.25,995.72,8.28,10,4.2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,99.572,0.021
P00033,9.94,574.28,3907.07,223.81,5.57,8,3.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,27.976,0.065
P00034,9.12,232.68,1879.83,766.16,6.0,14,4.4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,54.726,0.028
P00035,13.97,1151.28,4041.6,838.64,9.75,2,1.8,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,419.32,0.011
P00036,14.53,437.81,2712.54,741.47,9.2,14,3.6,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,52.962,0.024
P00037,15.94,1193.45,3896.74,352.44,12.37,14,4.3,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,25.174,0.059
P00038,9.03,458.77,3251.1,726.64,2.15,9,1.6,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,80.738,0.011
P00039,16.37,1894.34,3458.78,801.21,11.66,6,1.3,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,133.535,0.008
P00040,9.31,520.8,712.9,769.33,1.92,11,2.7,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,69.939,0.018
P00041,1.86,1379.99,3659.43,490.0,7.06,12,3.7,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,40.833,0.037
P00042,14.15,811.64,4643.23,365.7,8.24,8,3.3,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,45.712,0.044
P00043,7.23,619.42,3235.9,186.91,10.94,8,4.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,23.364,0.109
P00044,11.04,1546.73,4219.61,732.8,7.9,6,3.9,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,122.133,0.026
P00045,11.04,1380.73,1714.09,582.18,0.43,1,3.1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,582.18,0.027
P00046,1.8,996.92,2459.36,812.49,14.15,12,1.9,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,67.708,0.011
P00047,11.57,1498.7,753.82,297.02,4.1,8,4.7,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,37.128,0.078
P00048,15.48,486.72,3611.37,678.6,9.67,4,4.7,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,169.65,0.034
P00049,15.14,678.47,555.38,13.47,6.36,12,1.9,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,1.122,0.479
P00050,5.53,400.56,1649.77,592.47,11.31,7,4.7,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,84.639,0.039
P00051,10.8,1026.24,2702.1,567.08,5.02,7,1.7,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,81.011,0.015
P00052,14.73,936.35,216.93,107.2,11.43,7,2.8,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,15.314,0.118
P00053,1.05,420.78,180.01,543.89,8.22,4,4.4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,135.972,0.04
P00054,9.04,178.48,1292.86,924.35,4.87,3,3.1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,308.117,0.017
P00055,15.39,261.74,3987.41,338.7,10.57,12,3.8,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,28.225,0.054
P00056,16.78,1126.49,1079.35,278.19,5.72,6,4.7,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,46.365,0.083
P00057,5.77,932.7,3014.34,298.34,2.89,1,4.7,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,298.34,0.078
P00058,1.11,503.6,3984.48,388.32,11.65,7,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,55.474,0.025
P00059,20.0,773.38,2142.91,285.84,2.99,14,4.7,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20.417,0.081
P00060,3.24,716.49,2898.75,870.34,10.22,5,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,174.068,0.023
P00061,7.17,1671.02,1810.23,525.82,2.04,12,3.1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,43.818,0.029
P00062,14.97,865.7,3168.01,365.23,7.29,13,2.9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,28.095,0.039
P00063,19.82,959.18,1230.4,197.74,12.89,14,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,14.124,0.047
P00064,10.52,772.53,1804.41,440.65,7.84,5,3.5,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,88.13,0.039
P00065,2.96,452.17,3470.39,609.38,5.26,11,3.3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,55.398,0.027
P00066,14.21,302.87,1802.49,641.73,0.39,2,4.9,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,320.865,0.038
P00067,18.77,1233.14,4278.56,948.07,0.73,9,3.2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,105.341,0.017
P00068,1.96,16.34,4774.82,562.0,7.97,1,2.8,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,562.0,0.025
P00069,7.28,453.12,4448.84,752.72,5.84,8,3.8,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,94.09,0.025
P00070,11.19,644.45,3942.86,690.26,6.31,14,2.8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,49.304,0.02
P00071,4.5,346.72,4076.38,728.38,10.46,13,3.4,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,56.029,0.023
P00072,1.76,1707.58,947.52,377.8,10.62,2,1.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,188.9,0.021
P00073,0.65,96.62,4060.13,17.04,12.83,6,3.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.84,0.636
P00074,19.59,1153.02,2942.88,16.61,14.3,2,4.2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.305,0.679
P00075,4.12,645.94,2240.57,599.9,7.29,2,4.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,299.95,0.04
P00076,17.67,464.47,217.06,713.8,14.51,8,1.7,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,89.225,0.012
P00077,12.67,1247.5,1609.38,793.52,8.24,7,3.6,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,113.36,0.022
P00078,2.47,472.4,4915.08,327.57,0.23,12,3.8,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,27.298,0.058
P00079,11.76,1049.92,1015.67,591.6,12.99,13,1.7,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,45.508,0.014
P00080,18.15,713.12,4472.52,100.6,10.66,10,1.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.06,0.058
P00081,2.5,385.48,3082.8,781.86,10.87,12,4.2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,65.155,0.026
P00082,16.52,1390.68,3831.29,515.96,13.42,8,1.5,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,64.495,0.014
P00083,7.56,1400.57,2473.13,344.62,6.97,8,3.9,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,43.078,0.055
P00084,1.28,1173.27,3018.25,758.9,14.48,3,2.9,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,252.967,0.019
P00085,18.02,598.24,3343.86,268.63,14.15,8,1.7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,33.579,0.03
P00086,12.72,568.68,557.67,139.09,2.98,1,3.2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,139.09,0.113
P00087,7.77,1832.51,2414.63,820.75,4.94,5,2.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,164.15,0.013
P00088,12.91,269.45,1448.08,651.04,11.64,4,3.9,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,162.76,0.029
P00089,2.22,1539.01,4326.42,799.77,5.03,3,1.1,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,266.59,0.007
P00090,7.12,474.28,2170.75,358.41,0.62,12,2.3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,29.868,0.032
P00091,0.43,732.04,3731.49,205.41,8.35,1,4.1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,205.41,0.096
P00092,15.93,525.23,4900.46,557.06,2.6,11,3.2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,50.642,0.029
P00093,8.32,1697.2,3265.62,456.23,3.92,4,3.4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,114.058,0.037
P00094,11.6,155.86,2837.34,586.91,10.75,10,1.1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,58.691,0.009
P00095,10.61,1082.07,898.24,400.72,12.79,13,2.3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,30.825,0.028
P00096,14.17,1050.38,1205.55,53.42,10.47,6,4.2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,8.903,0.329
P00097,19.24,839.77,3394.48,559.66,14.99,11,4.7,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,50.878,0.041
P00098,5.71,598.12,4599.19,702.48,14.21,5,1.2,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,140.496,0.008
P00099,6.05,376.79,537.62,375.35,2.67,12,2.6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,31.279,0.034
P00100,3.19,246.79,1326.66,879.35,4.5,7,1.6,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,125.621,0.009
P00101,5.32,613.2,1346.65,565.94,7.16,6,4.5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,94.323,0.039
P00102,3.83,1417.12,3707.8,302.08,0.06,1,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,302.08,0.017
P00103,19.03,457.05,2002.91,19.76,0.34,10,2.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,1.976,0.647
P00104,12.38,466.41,4759.64,589.94,7.09,8,2.6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,73.742,0.022
P00105,15.84,1270.45,2842.8,298.59,10.87,13,2.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,22.968,0.032
P00106,6.9,1291.62,2580.26,322.63,11.2,10,4.6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,32.263,0.069
P00107,1.64,1956.69,2228.13,53.22,11.68,8,3.1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,6.652,0.239
